Date,nasdaq100_shares,nasdaq100_value,sp500_shares,sp500_value,csi930955_shares,csi930955_value,csi980092_shares,csi980092_value,total_value,return,cumulative_invest,profit
2015-01-05,19.22633256532834,80000.0,19.79629654354415,40000.0,4.415303441729033,40000.0,26.652263783318162,40000.0,200000.0,-80.0,200000.0,0.0
2015-01-06,19.39055863947928,79711.291686818,19.964852949976315,39981.81387369817,4.452579186422462,40320.59797739979,26.87512836291799,40705.31666965653,200719.0202075725,-79.92809797924275,201687.76371308017,-968.7435055076785
2015-01-07,19.552843611890836,81339.82942546588,20.13147160763375,40784.34882139622,4.4898101580393615,40706.639307355974,27.09739213253623,41152.90156281603,203983.7191170341,-79.60162808829658,203375.52742616035,608.1916908737621
2015-01-08,19.712045959776436,83589.91264472099,20.295162123408613,41851.46344102147,4.528152825751365,39863.9556537282,27.323760452774238,40744.26257932155,206049.5943187922,-79.39504056812078,205063.29113924052,986.3031795516727
2015-01-09,19.87227872846427,83727.47025162906,20.460239921807243,41837.30439335285,4.566809539358009,39877.65490624649,27.553856531756253,40421.72245216737,205864.15200339578,-79.41358479966041,206751.0548523207,-886.9028489249176
2015-01-12,20.03417568466528,83541.91588400111,20.626664710044842,41836.239166227824,4.606478131280282,39197.996492065926,27.788174138633185,40031.02676664909,204607.17830894396,-79.5392821691056,208438.81856540087,-3831.6402564569144
2015-01-13,20.196219142392454,84141.4921356095,20.79351974320189,42065.914855274874,4.646057464905502,39623.94755002123,28.02078981092115,40661.466864686314,206492.8214055919,-79.3507178594408,210126.58227848104,-3633.7608728891355
2015-01-14,20.359058400703365,84405.39549886917,20.961350387192052,42158.93560264914,4.685828178983553,39770.82609427754,28.255575872592445,40623.14032654172,206958.29752233758,-79.30417024776624,211814.34599156122,-4856.048469223635
2015-01-15,20.524134996830863,83936.52668547929,21.13074759554658,42106.60773981511,4.724328326985341,41420.879309826865,28.484875830106258,41932.61989135042,209396.63362647168,-79.06033663735283,213502.1097046414,-4105.476078169711
2015-01-16,20.687119701101846,85688.94882703914,21.29790090455136,43009.40798061201,4.762538009630332,42073.308535436474,28.712839134907796,42516.042688181595,213287.70803126923,-78.67122919687309,215189.87341772157,-1902.1653864523396
2015-01-20,20.84896853910192,86965.42524557449,21.464795534828426,43413.623257052954,4.803712518677067,39381.31559936646,28.952989915088082,40695.93754988194,210456.30165187584,-78.95436983481241,216877.63713080174,-6421.335478925903
2015-01-21,21.01001124343198,88075.85475066451,21.630904201357524,43956.592940043,4.84314666490244,41456.89956836504,29.18575516420213,42324.75310852502,215814.1003675976,-78.41858996324024,218565.40084388191,-2751.3004762843193
2015-01-22,21.16810224907227,90395.41422627178,21.794514582858437,44965.350633253816,4.8824538421001575,41928.36531626563,29.4180606194208,42746.07772418886,220035.20789998007,-77.996479210002,220253.1645569621,-217.95665698201628
2015-01-23,21.325905748643898,91235.21333515458,21.959028395653892,45055.97514387603,4.92182300093497,42199.907282936474,29.651092390679164,42950.399012065594,221441.49477403268,-77.85585052259674,221940.92827004226,-499.43349600958754
2015-01-26,21.483798559985562,91858.71179456131,22.123120743676512,45509.25239502443,4.960743132310652,43024.32675680499,29.880398298521445,43985.82876051638,224378.11970690708,-77.5621880293093,223628.69198312244,749.42772378464
2015-01-27,21.64586925623621,90165.86838685193,22.28943974764044,45237.533528175205,4.999948183062056,43049.20385979149,30.111292713915308,44020.76776936413,222473.37354418274,-77.75266264558172,225316.4556962026,-2843.082152019866
2015-01-28,21.808923252328345,90297.22709974204,22.45803403423768,44964.5781895979,5.039576770663478,42926.661370602145,30.343784843730496,44055.80439860054,222244.27105854262,-77.77557289414574,227004.21940928278,-4759.94835074016
2015-01-29,21.97037959285589,91865.84885613286,22.62503600955792,45730.854034318945,5.079542664968256,42901.918939175186,30.576202072483124,44407.55499814496,224906.17682777194,-77.5093823172228,228691.98312236296,-3785.8062945910206
2015-01-30,22.133117172283733,91817.691161604,22.79423622823991,45474.27311037637,5.120107569804763,42605.95112061637,30.81157902267115,44186.70985041227,224084.625243009,-77.5915374756991,230379.74683544313,-6295.121592434123
2015-02-02,22.294294444448354,93381.65528358842,22.961271261366583,46401.28446795475,5.161768301119116,41822.81471835355,31.05226626856548,43549.36882696148,225155.12329685822,-77.48448767031417,232067.5105485233,-6912.387251665088
2015-02-03,22.45392593087496,94961.01865779363,23.125928723838882,47408.84833924886,5.2025616522516085,43049.636903886385,31.288777258908954,44655.90610190552,230075.4100028344,-76.99245899971656,233755.27426160348,-3679.8642587690847
2015-02-04,22.613858048281223,95457.62201017384,23.291273366285573,47549.3677174595,5.243655108227128,43072.79884585685,31.52553598679794,44946.7321845631,231026.5207580533,-76.89734792419468,235443.03797468366,-4416.517216630367
2015-02-05,22.772475742398964,96923.75980825788,23.454933713540164,48376.27034095503,5.285310338580474,42829.459475583484,31.765743640814083,44638.93513765419,232768.4247624506,-76.72315752375494,237130.80168776383,-4362.376925313234
2015-02-06,22.932124960871093,96972.62221057396,23.619155398812737,48548.464655630174,5.328009293171828,42120.0979463335,32.01293551677027,43715.24808845788,231356.4329009955,-76.86435670990045,238818.565400844,-7462.132499848492
2015-02-09,23.09225093309933,97359.00462836654,23.78407754047538,48679.822632926196,5.370641754280179,42523.34504353434,32.261302194551746,43846.022877983996,232408.19518281106,-76.75918048171889,240506.32911392418,-8098.133931113116
2015-02-10,23.249943114796032,99536.73009814379,23.947257642996437,49537.05979246544,5.412468762823455,43679.75953442547,32.50433192566681,45146.436767507956,237899.98619254265,-76.21000138074574,242194.09282700435,-4294.106634461699
2015-02-11,23.40704377358116,100586.61603847779,24.110442483359027,49873.174296463265,5.454231705471298,44084.31864032526,32.74526901566294,45876.10551830927,240420.21449357562,-75.95797855064244,243881.85654008453,-3461.642046508903
2015-02-12,23.56231288810437,102448.23463030682,24.27206852036814,50691.72918935461,5.495796711925617,44631.80476128489,32.98489658584637,46464.36258956303,244236.13117050935,-75.57638688294907,245569.6202531647,-1333.4890826553456
2015-02-13,23.71630488138824,103972.98699385261,24.433038646209468,51235.8374721109,5.536888967290335,45482.82979069613,33.22142448029646,47410.82641862277,248102.48067528242,-75.18975193247176,247257.38396624487,845.0967090375489
2015-02-17,23.870250871730182,104679.16222810654,24.59375202046832,51655.243280230665,5.5774102892934,46461.22206238635,33.45204387544934,48963.050782369435,251758.67835309298,-74.82413216469071,248945.14767932505,2813.530673767935
2015-02-25,24.02228145977971,106673.0990740017,24.753437489450334,52325.30403051015,5.618048937847015,46664.63808754488,33.68351803093455,49119.798573043045,254782.83976509978,-74.52171602349003,250632.91139240522,4149.928372694558
2015-02-26,24.173573399146253,107869.01184394845,24.913359007106592,52585.623147365644,5.657634676849004,48243.386381999444,33.911207536213915,50273.81958261812,258971.84095593164,-74.10281590440684,252320.6751054854,6651.165850446239
2015-02-27,24.32560124564447,108021.96578305843,25.073754703289076,52767.71677307186,5.697244245332463,48551.91545872325,34.13737861960717,50948.89057384208,260290.48858869562,-73.97095114113044,254008.43881856557,6282.049770130048
2015-03-02,24.476191918209867,109727.9873984245,25.23317396933886,53428.46752034355,5.736460364137695,49376.58258431521,34.36028947066208,52031.60767191834,264564.6451750016,-73.54353548249983,255696.20253164574,8868.44264335584
2015-03-03,24.62760228556633,109809.05522775101,25.393320065195283,53523.53291096224,5.776570008865264,48614.16905210784,34.5878095153259,51315.08294238498,263261.8401332061,-73.67381598667939,257383.96624472592,5877.873888480186
2015-03-04,24.779469739719694,110153.6602143422,25.554172060593764,53626.197442975215,5.816519301028974,49146.85432962335,34.81298022984006,52188.03422361254,265114.74621055333,-73.48852537894467,259071.7299578061,6043.016252747242
2015-03-05,24.931108638644456,110994.79298657058,25.714831893981163,54027.891407015806,5.85698830153683,48853.25656288473,35.04085496909321,51906.309304814014,265782.2502612851,-73.42177497387149,260759.49367088627,5022.756590398843
2015-03-06,25.084568559637297,110352.78605468021,25.877801652014696,53599.655702464865,5.897430247073459,49223.49130022334,35.269618937773934,52042.09680451801,265218.0298618864,-73.47819701381135,262447.2573839664,2770.7724779199925
2015-03-09,25.237549973458098,111373.06157242162,26.040131114277322,54148.6280628746,5.937086256177765,50536.59695431026,35.49485942874953,53193.753472341414,269252.0400619479,-73.07479599380521,264135.02109704656,5117.018964901334
2015-03-10,25.393496611785118,109930.48029601364,26.205261405923736,53567.74805122071,5.976818490124159,50777.197078362915,35.72021615952458,53503.868688619026,267779.29411421635,-73.22207058857838,265822.7848101267,1956.5093040896463
2015-03-11,25.550301702998357,110003.75495187909,26.370708972990226,53802.575017527124,6.0164779470584895,51207.92842123999,35.94584600633485,53776.65710731622,268790.9154979624,-73.12090845020376,267510.54852320685,1280.3669747555396
