Date,nasdaq100_shares,nasdaq100_value,sp500_shares,sp500_value,csi930955_shares,csi930955_value,csi980092_shares,csi980092_value,cnb00003_shares,cnb00003_value,total_value,return,cumulative_invest,profit
2015-01-05,10.814812067997192,45000.0,22.27083361148717,45000.0,4.967216371945162,45000.0,29.98379675623293,45000.0,178.22595665010056,20000.0,200000.0,-80.0,200000.0,0.0
2015-01-06,10.907189234707095,44837.60157383513,22.46045956872336,44979.54060791044,5.009151584725271,45360.672724574775,30.23451940828274,45793.4812533636,179.72938769021445,20176.564845613626,201147.86100529757,-79.88521389947024,201687.76371308017,-539.9027077826031
2015-01-07,10.998474531688595,45753.65405182455,22.647905558587972,45882.39242407076,5.0510364277942825,45794.96922077548,30.484566149103255,46297.01425816803,181.2322082891119,20353.536877000315,204081.56683183913,-79.5918433168161,203375.52742616035,706.0394056787773
2015-01-08,11.088025852374244,47019.325862655554,22.83205738883469,47082.89637114915,5.094171928970286,44846.95011044423,30.73923050937102,45837.295401736745,182.73460615366366,20528.040186090268,205314.50793207594,-79.4685492067924,205063.29113924052,251.21679283541744
2015-01-09,11.17815678476115,47096.702016541334,23.017769912033152,47066.967442521964,5.1376607317777605,44862.361769527306,30.998088598225788,45474.4377586883,184.236776696212,20699.923045702897,205200.3920329818,-79.47996079670182,206751.0548523207,-1550.6628193389042
2015-01-12,11.269223822624216,46992.327684750606,23.204997798800452,47065.769062006315,5.182287897690317,44097.74605357417,31.261695905962334,45034.90511248023,185.73873335147016,20871.647205438054,204062.39511824938,-79.59376048817506,208438.81856540087,-4376.423447151494
2015-01-13,11.360373267595751,47329.58932628032,23.392709711102132,47324.154212184236,5.226814648018691,44576.94099377389,31.523388537286294,45744.15022277211,187.2391691549248,21061.579218474802,206036.41397348535,-79.39635860265146,210126.58227848104,-4090.168304995692
2015-01-14,11.451970350395637,47478.03496811388,23.581519185591063,47428.80255298028,5.271556701356499,44742.17935606224,31.7875228566665,45701.03286735943,188.73834281789766,21248.08713910179,206598.1368836176,-79.34018631163823,211814.34599156122,-5216.209107943607
2015-01-15,11.544825935717355,47214.29626058207,23.77209104498991,47369.93370729202,5.31486936785851,46598.48922355523,32.04548530886954,47174.19737776922,190.23640537172423,21432.623162035103,209789.53973123364,-79.02104602687663,213502.1097046414,-3712.56997340775
2015-01-16,11.636504831869782,48200.033715209494,23.960138517620287,48385.58397818854,5.357855260834125,47332.47210236604,32.30194402677127,47830.54802420429,191.73323499490152,21619.053471761617,213367.69129172998,-78.66323087082701,215189.87341772157,-1822.1821259915887
2015-01-20,11.727544803244824,48918.051700635624,24.147894976681986,48840.32616418458,5.404176583511701,44303.980049287275,32.57211365447409,45782.92974361718,193.22779539101563,21820.65457290076,209665.94223062546,-79.03340577693744,216877.63713080174,-7211.694900176284
2015-01-21,11.81813132443048,49542.668297248754,24.334767226527223,49451.167057548395,5.448539998015246,46639.012014410684,32.833974559727395,47615.34724709064,194.72185039116184,21996.812245992714,215245.0068622912,-78.47549931377088,218565.40084388191,-3320.3939815907215
2015-01-22,11.907057515103144,50847.42050227784,24.51882890571575,50586.019462410564,5.492760572362679,47169.41098079884,33.095318196848396,48089.337439712464,196.2147160180543,22183.113583835937,218875.30196903567,-78.11246980309643,220253.1645569621,-1377.8625879264146
2015-01-23,11.995821983612185,51319.80750102442,24.70390694511064,50687.97203686055,5.537050876051842,47474.895693303544,33.35747893951405,48319.19888857379,197.70752882786311,22352.674814008024,220154.54893377033,-77.98454510662296,221940.92827004226,-1786.3793362719298
2015-01-26,12.084636689991871,51670.525384440705,24.888510836636087,51197.9089444025,5.580836023849485,48402.367601405625,33.61544808583662,49484.05735558092,199.1997424256006,22530.427107124826,223285.28639295456,-77.67147136070454,223628.69198312244,-343.4055901678803
2015-01-27,12.17580145663286,50718.30096760418,25.075619716095506,50892.22521919713,5.624941705944814,48430.35434226544,33.87520430315471,49523.36374053464,200.6917067134063,22702.968353564687,222267.21262316607,-77.7732787376834,225316.4556962026,-3049.243073036545
2015-01-28,12.267519329434686,50792.19024360486,25.265288288517404,50585.150463297665,5.669523866996415,48292.494041927435,34.1367579491968,49562.779948425596,202.1839229497896,22867.911513274477,222100.52621053002,-77.789947378947,227004.21940928278,-4903.693198752764
2015-01-29,12.35833852098143,51674.5399815747,25.453165510752672,51447.21078860884,5.71448549808929,48264.65880657211,34.3982273315435,49958.49937291306,203.67700384494984,23023.444837629286,224368.35378729802,-77.5631646212702,228691.98312236296,-4323.629335064936
2015-01-30,12.449878409409592,51647.45127840222,25.643515756769908,51158.55724917344,5.760121016030361,47931.69501069344,34.66302640050503,49710.04858171378,205.17078379936916,23181.446695433904,223629.19881541678,-77.63708011845833,230379.74683544313,-6750.5480200263555
2015-02-02,12.540540625002192,52527.18109701846,25.831430169037414,52201.44502644911,5.806989338759007,47050.66655814776,34.93379955213615,48993.039930331644,206.66339857839515,23368.319129873023,224140.65174181998,-77.585934825818,232067.5105485233,-7926.858806703327
2015-02-03,12.630333336117157,53415.572995008886,26.01666981431875,53334.95438165499,5.852881858783061,48430.8415168722,35.19987441627256,50237.89436464369,208.1550384923135,23552.367926335988,228971.63118451575,-77.10283688154843,233755.27426160348,-4783.643077087734
2015-02-04,12.720295152158181,53694.91238072276,26.202682537071276,53493.03868214195,5.89911199675552,48456.89870158897,35.46622798514767,50565.07370763346,209.64643851306187,23724.932719344564,229934.8561914317,-77.00651438085683,235443.03797468366,-5508.181783251959
2015-02-05,12.809517605099412,54519.61489214503,26.38680042773269,54423.30413357443,5.945974130903035,48183.14191003143,35.73646159591583,50218.80202986094,211.1355909829307,23929.51670235061,231274.37966796244,-76.87256203320376,237130.80168776383,-5856.422019801394
2015-02-06,12.899320290489985,54547.09999344784,26.571549823664334,54617.02273758395,5.994010454818308,47385.1101896252,36.01455245636654,49179.6540995151,212.62529155628107,24089.488719514644,229818.37573968671,-77.01816242603132,238818.565400844,-9000.189661157288
2015-02-09,12.98939114986837,54764.44010345617,26.75708723303481,54764.80046204199,6.041971973565202,47838.76317397614,36.293964968870704,49326.77573773198,214.11440329595368,24267.790703884377,230962.57018109065,-76.90374298189093,240506.32911392418,-9543.75893283353
2015-02-10,13.078093002072766,55989.410680205874,26.940664848370997,55729.192266523634,6.089027358176388,49139.72947622867,36.567373416375155,50789.74136344644,215.60297392968155,24445.388588608188,236093.4623750128,-76.39065376249872,242194.09282700435,-6100.630451991543
2015-02-11,13.166462122639402,56579.971521643754,27.12424779377891,56107.32108352119,6.136010668655212,49594.85847036593,36.8384276426208,51610.618708097914,217.09068249638057,24628.330075303384,238521.09985893214,-76.14789001410679,243881.85654008453,-5360.756681152387
2015-02-12,13.253800999558706,57627.13197954758,27.306077085414163,57028.19533802395,6.18277130091632,50210.78035644551,37.10800865907716,52272.407913258394,218.57706907007062,24819.010896475287,241957.5264837507,-75.80424735162494,245569.6202531647,-3612.093769414001
